"Ukazatel","IndicatorType","Odvětví ekonomické činnosti","CZNACEMZDY","Šetření","ZJIST","Kraje","Uz2","Roky","CasR","Hodnota"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2021","2021","7.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Olomoucký kraj","CZ071","2022","2022","7.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2010","2010","3.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2011","2011","3.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2012","2012","3.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2013","2013","3.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2014","2014","4.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2015","2015","4.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2016","2016","5.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2017","2017","4.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2018","2018","4.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2019","2019","4.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2020","2020","4.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2021","2021","4.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Zlínský kraj","CZ072","2022","2022","4.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2010","2010","19.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2011","2011","22.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2012","2012","23.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2013","2013","25.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2014","2014","25.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2015","2015","29.3"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","N - Administrativní a podpůrné činnosti","N","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2016","2016","29.4"
